experiment_id,timestamp,model_name,feature_set,target_strategy,fold,target,r2,mean_r2,std_r2,runtime_seconds,seed,git_commit,notes
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,3,Q0_REVENUES,0.6262773952950724,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,3,Q0_OPERATING_INCOME,0.4485592886412878,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,3,Q0_OPERATING_EXPENSES,0.2980674243825574,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,3,Q0_EBITDA,-0.007256496005251245,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,4,Q0_TOTAL_ASSETS,0.6031383758839066,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,4,Q0_TOTAL_LIABILITIES,0.5455722445730583,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,4,Q0_TOTAL_STOCKHOLDERS_EQUITY,0.7037381677493029,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,4,Q0_GROSS_PROFIT,0.4319379830544592,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,4,Q0_COST_OF_REVENUES,0.6592677079511198,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,4,Q0_REVENUES,0.6888143089255127,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,4,Q0_OPERATING_INCOME,0.4470067334289758,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,4,Q0_OPERATING_EXPENSES,0.4348190773899496,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
M3c_catboost_direct_history_metadata,2026-06-11T09:03:38.445302+00:00,CatBoostRegressor,history_metadata,direct,4,Q0_EBITDA,0.043436983567027077,0.4078270894050678,0.06955625167347039,170.92483509999875,42,00f2bd5,CatBoost direct; median_best_iter=60.
