target,candidate,members,weights,r2
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.7,0.1,0.2",0.39068733843257486
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.7,0.2,0.1",0.43221600681852035
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.7,0.3,0.0",0.46711782658652645
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.8,0.0,0.2",0.3536033220047774
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.8,0.1,0.1",0.3996442808654549
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.8,0.2,0.0",0.4390583911081929
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.9,0.0,0.1",0.36332993681905434
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.9,0.1,0.0",0.40725633753652446
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","1.0,0.0,0.0",0.37171166587152094
Q0_TOTAL_LIABILITIES,B1,B1,1.0,0.6357224875711011
Q0_TOTAL_LIABILITIES,B2,B2,1.0,0.861749312870751
Q0_TOTAL_LIABILITIES,B3,B3,1.0,0.41107539063721044
Q0_TOTAL_LIABILITIES,B1+B2,"B1,B2","0.0,1.0",0.861749312870751
Q0_TOTAL_LIABILITIES,B1+B2,"B1,B2","0.1,0.9",0.8577681970712232
Q0_TOTAL_LIABILITIES,B1+B2,"B1,B2","0.2,0.8",0.8496489553315983
Q0_TOTAL_LIABILITIES,B1+B2,"B1,B2","0.3,0.7",0.8373915876518763
Q0_TOTAL_LIABILITIES,B1+B2,"B1,B2","0.4,0.6",0.8209960940320571
Q0_TOTAL_LIABILITIES,B1+B2,"B1,B2","0.5,0.5",0.8004624744721407
Q0_TOTAL_LIABILITIES,B1+B2,"B1,B2","0.6,0.4",0.7757907289721271
Q0_TOTAL_LIABILITIES,B1+B2,"B1,B2","0.7,0.3",0.7469808575320163
Q0_TOTAL_LIABILITIES,B1+B2,"B1,B2","0.8,0.2",0.7140328601518084
Q0_TOTAL_LIABILITIES,B1+B2,"B1,B2","0.9,0.1",0.6769467368315033
Q0_TOTAL_LIABILITIES,B1+B2,"B1,B2","1.0,0.0",0.6357224875711011
Q0_TOTAL_LIABILITIES,B1+B3,"B1,B3","0.0,1.0",0.41107539063721044
Q0_TOTAL_LIABILITIES,B1+B3,"B1,B3","0.1,0.9",0.4448056114312523
Q0_TOTAL_LIABILITIES,B1+B3,"B1,B3","0.2,0.8",0.47603238531403813
Q0_TOTAL_LIABILITIES,B1+B3,"B1,B3","0.3,0.7",0.5047557122855675
Q0_TOTAL_LIABILITIES,B1+B3,"B1,B3","0.4,0.6",0.5309755923458409
Q0_TOTAL_LIABILITIES,B1+B3,"B1,B3","0.5,0.5",0.554692025494858
Q0_TOTAL_LIABILITIES,B1+B3,"B1,B3","0.6,0.4",0.575905011732619
Q0_TOTAL_LIABILITIES,B1+B3,"B1,B3","0.7,0.3",0.5946145510591238
Q0_TOTAL_LIABILITIES,B1+B3,"B1,B3","0.8,0.2",0.6108206434743723
Q0_TOTAL_LIABILITIES,B1+B3,"B1,B3","0.9,0.1",0.6245232889783647
Q0_TOTAL_LIABILITIES,B1+B3,"B1,B3","1.0,0.0",0.6357224875711011
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.0,0.0,1.0",0.41107539063721044
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.0,0.1,0.9",0.4942785678450845
