target,stage,members,weights,r2
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.35,0.50,0.15",0.6681825399829804
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.35,0.55,0.10",0.6662295856462379
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.35,0.60,0.05",0.6633311346055939
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.35,0.65,0.00",0.6594871868610479
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.40,0.00,0.60",0.6301355722998923
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.40,0.05,0.55",0.6376941075787655
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.40,0.10,0.50",0.6443071461537372
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.40,0.15,0.45",0.649974688024807
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.40,0.20,0.40",0.654696733191975
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.40,0.25,0.35",0.6584732816552412
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.40,0.30,0.30",0.6613043334146058
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.40,0.35,0.25",0.6631898884700684
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.40,0.40,0.20",0.6641299468216294
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.40,0.45,0.15",0.6641245084692885
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.40,0.50,0.10",0.663173573413046
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.40,0.55,0.05",0.6612771416529015
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.40,0.60,0.00",0.6584352131888553
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.45,0.00,0.55",0.6245036274518316
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.45,0.05,0.50",0.6321186853073029
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.45,0.10,0.45",0.6387882464588724
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.45,0.15,0.40",0.6445123109065403
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.45,0.20,0.35",0.6492908786503062
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.45,0.25,0.30",0.6531239496901704
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.45,0.30,0.25",0.6560115240261327
